date,agent_id,team,site,account,shift,channel,program,tenure_band,ssa_n8nn_month,ssa_n8nn_calls_offered,ssa_n8nn_busy_rate_pct,daily_contacts,occupancy,aht,acw,qa,csat,fcr,escalation_rate,transfer_rate,late_count,absent_flag
2026-04-01,A011,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,2055.0,0.861,428.12,62.35,91.53,4.51,0.831,0.082,0.098,0.5,0
2026-04-01,A012,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2168.0,0.871,402.37,58.63,92.61,4.51,0.836,0.086,0.096,0.65,0
2026-04-01,A013,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1603.0,0.838,427.48,67.31,90.09,4.57,0.829,0.065,0.11,0.2,0
2026-04-01,A014,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1716.0,0.848,395.72,62.35,91.53,4.57,0.835,0.069,0.107,0.35,0
2026-04-01,A015,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1829.0,0.858,371.91,58.63,92.61,4.57,0.84,0.073,0.105,0.5,0
2026-04-01,A016,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1942.0,0.868,427.48,67.31,90.09,4.57,0.829,0.077,0.104,0.65,0
2026-04-01,A017,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,2055.0,0.838,395.72,62.35,91.53,4.57,0.835,0.065,0.101,0.2,0
2026-04-01,A018,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2168.0,0.848,371.91,58.63,92.61,4.57,0.84,0.069,0.099,0.35,0
2026-04-01,A019,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1603.0,0.858,427.48,67.31,90.09,4.57,0.829,0.073,0.113,0.5,0
2026-04-01,A020,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1716.0,0.868,395.72,62.35,91.53,4.57,0.835,0.077,0.11,0.65,0
2026-04-01,A021,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1829.0,0.838,371.91,58.63,92.61,4.57,0.84,0.065,0.093,0.2,0
2026-04-01,A022,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1942.0,0.848,427.48,67.31,90.09,4.57,0.829,0.069,0.107,0.35,0
2026-04-01,A023,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,2055.0,0.858,395.72,62.35,91.53,4.57,0.835,0.073,0.104,0.5,0
2026-04-01,A024,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2168.0,0.868,371.91,58.63,92.61,4.57,0.84,0.077,0.102,0.65,0
2026-04-01,A025,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1603.0,0.843,479.97,67.31,90.09,4.48,0.823,0.079,0.116,0.2,0
2026-04-01,A026,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1716.0,0.853,444.33,62.35,91.53,4.48,0.829,0.083,0.098,0.35,0
2026-04-01,A027,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1829.0,0.863,417.6,58.63,92.61,4.48,0.834,0.087,0.096,0.5,0
2026-04-01,A028,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1942.0,0.873,479.97,67.31,90.09,4.48,0.823,0.091,0.11,0.65,0
2026-04-01,A029,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,2055.0,0.843,444.33,62.35,91.53,4.48,0.829,0.079,0.107,0.2,0
2026-04-01,A030,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2168.0,0.853,417.6,58.63,92.61,4.48,0.834,0.083,0.105,0.35,0
2026-04-01,A031,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1603.0,0.863,479.97,67.31,90.09,4.48,0.823,0.087,0.104,0.5,0
2026-04-01,A032,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1716.0,0.873,444.33,62.35,91.53,4.48,0.829,0.091,0.101,0.65,0
2026-04-01,A033,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1829.0,0.843,417.6,58.63,92.61,4.48,0.834,0.079,0.099,0.2,0
2026-04-01,A034,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1942.0,0.853,479.97,67.31,90.09,4.48,0.823,0.083,0.113,0.35,0
2026-04-01,A035,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,2055.0,0.863,444.33,62.35,91.53,4.48,0.829,0.087,0.11,0.5,0
2026-04-01,A036,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2168.0,0.873,417.6,58.63,92.61,4.48,0.834,0.091,0.093,0.65,0
2026-04-01,A037,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1603.0,0.84,444.97,67.31,90.09,4.54,0.827,0.07,0.107,0.2,0
2026-04-01,A038,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1716.0,0.85,411.93,62.35,91.53,4.54,0.833,0.074,0.104,0.35,0
2026-04-01,A039,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1829.0,0.86,387.14,58.63,92.61,4.54,0.838,0.078,0.102,0.5,0
2026-04-01,A040,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1942.0,0.87,444.97,67.31,90.09,4.54,0.827,0.082,0.116,0.65,0
2026-04-01,A041,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,2055.0,0.84,411.93,62.35,91.53,4.54,0.833,0.07,0.098,0.2,0
2026-04-01,A042,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,2168.0,0.85,387.14,58.63,92.61,4.54,0.838,0.074,0.096,0.35,0
2026-04-01,A043,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1603.0,0.86,444.97,67.31,90.09,4.54,0.827,0.078,0.11,0.5,0
2026-04-01,A044,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1716.0,0.87,411.93,62.35,91.53,4.54,0.833,0.082,0.107,0.65,0
2026-04-01,A045,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1829.0,0.84,387.14,58.63,92.61,4.54,0.838,0.07,0.105,0.2,0
2026-04-01,A046,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1942.0,0.85,444.97,67.31,90.09,4.54,0.827,0.074,0.104,0.35,0
2026-04-01,A047,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,2055.0,0.86,411.93,62.35,91.53,4.54,0.833,0.078,0.101,0.5,0
2026-04-01,A048,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,2168.0,0.87,387.14,58.63,92.61,4.54,0.838,0.082,0.099,0.65,0
2026-04-02,A001,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1587.0,0.841,467.47,68.51,90.27,4.52,0.825,0.074,0.104,0.2,0
2026-04-02,A002,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1699.0,0.851,433.12,63.55,91.71,4.52,0.831,0.078,0.101,0.35,0
2026-04-02,A003,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1811.0,0.861,407.37,59.83,92.79,4.52,0.836,0.082,0.099,0.5,0
2026-04-02,A004,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1923.0,0.871,467.47,68.51,90.27,4.52,0.825,0.086,0.113,0.65,0
2026-04-02,A005,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,2035.0,0.841,433.12,63.55,91.71,4.52,0.831,0.074,0.11,0.2,0
2026-04-02,A006,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2147.0,0.851,407.37,59.83,92.79,4.52,0.836,0.078,0.093,0.35,0
2026-04-02,A007,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1587.0,0.861,467.47,68.51,90.27,4.52,0.825,0.082,0.107,0.5,0
2026-04-02,A008,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1699.0,0.871,433.12,63.55,91.71,4.52,0.831,0.086,0.104,0.65,0
2026-04-02,A009,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1811.0,0.841,407.37,59.83,92.79,4.52,0.836,0.074,0.102,0.2,0
2026-04-02,A010,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1923.0,0.851,467.47,68.51,90.27,4.52,0.825,0.078,0.116,0.35,0
2026-04-02,A011,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,2035.0,0.861,433.12,63.55,91.71,4.52,0.831,0.082,0.098,0.5,0
2026-04-02,A012,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2147.0,0.871,407.37,59.83,92.79,4.52,0.836,0.086,0.096,0.65,0
2026-04-02,A013,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1587.0,0.838,432.48,68.51,90.27,4.58,0.829,0.065,0.11,0.2,0
2026-04-02,A014,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1699.0,0.848,400.72,63.55,91.71,4.58,0.835,0.069,0.107,0.35,0
2026-04-02,A015,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1811.0,0.858,376.91,59.83,92.79,4.58,0.84,0.073,0.105,0.5,0
2026-04-02,A016,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1923.0,0.868,432.48,68.51,90.27,4.58,0.829,0.077,0.104,0.65,0
2026-04-02,A017,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,2035.0,0.838,400.72,63.55,91.71,4.58,0.835,0.065,0.101,0.2,0
2026-04-02,A018,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2147.0,0.848,376.91,59.83,92.79,4.58,0.84,0.069,0.099,0.35,0
2026-04-02,A019,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1587.0,0.858,432.48,68.51,90.27,4.58,0.829,0.073,0.113,0.5,0
2026-04-02,A020,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1699.0,0.868,400.72,63.55,91.71,4.58,0.835,0.077,0.11,0.65,0
2026-04-02,A021,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1811.0,0.838,376.91,59.83,92.79,4.58,0.84,0.065,0.093,0.2,0
2026-04-02,A022,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1923.0,0.848,432.48,68.51,90.27,4.58,0.829,0.069,0.107,0.35,0
2026-04-02,A023,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,2035.0,0.858,400.72,63.55,91.71,4.58,0.835,0.073,0.104,0.5,0
2026-04-02,A024,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2147.0,0.868,376.91,59.83,92.79,4.58,0.84,0.077,0.102,0.65,0
2026-04-02,A025,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1587.0,0.843,484.97,68.51,90.27,4.49,0.823,0.079,0.116,0.2,0
2026-04-02,A026,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1699.0,0.853,449.33,63.55,91.71,4.49,0.829,0.083,0.098,0.35,0
2026-04-02,A027,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1811.0,0.863,422.6,59.83,92.79,4.49,0.834,0.087,0.096,0.5,0
2026-04-02,A028,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1923.0,0.873,484.97,68.51,90.27,4.49,0.823,0.091,0.11,0.65,0
2026-04-02,A029,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,2035.0,0.843,449.33,63.55,91.71,4.49,0.829,0.079,0.107,0.2,0
2026-04-02,A030,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2147.0,0.853,422.6,59.83,92.79,4.49,0.834,0.083,0.105,0.35,0
2026-04-02,A031,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1587.0,0.863,484.97,68.51,90.27,4.49,0.823,0.087,0.104,0.5,0
2026-04-02,A032,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1699.0,0.873,449.33,63.55,91.71,4.49,0.829,0.091,0.101,0.65,0
2026-04-02,A033,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1811.0,0.843,422.6,59.83,92.79,4.49,0.834,0.079,0.099,0.2,0
2026-04-02,A034,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1923.0,0.853,484.97,68.51,90.27,4.49,0.823,0.083,0.113,0.35,0
2026-04-02,A035,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,2035.0,0.863,449.33,63.55,91.71,4.49,0.829,0.087,0.11,0.5,0
2026-04-02,A036,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2147.0,0.873,422.6,59.83,92.79,4.49,0.834,0.091,0.093,0.65,1
2026-04-02,A037,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1587.0,0.84,449.97,68.51,90.27,4.55,0.827,0.07,0.107,0.2,0
2026-04-02,A038,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1699.0,0.85,416.93,63.55,91.71,4.55,0.833,0.074,0.104,0.35,0
2026-04-02,A039,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1811.0,0.86,392.14,59.83,92.79,4.55,0.838,0.078,0.102,0.5,0
2026-04-02,A040,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1923.0,0.87,449.97,68.51,90.27,4.55,0.827,0.082,0.116,0.65,0
2026-04-02,A041,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,2035.0,0.84,416.93,63.55,91.71,4.55,0.833,0.07,0.098,0.2,0
2026-04-02,A042,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,2147.0,0.85,392.14,59.83,92.79,4.55,0.838,0.074,0.096,0.35,0
2026-04-02,A043,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1587.0,0.86,449.97,68.51,90.27,4.55,0.827,0.078,0.11,0.5,0
2026-04-02,A044,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1699.0,0.87,416.93,63.55,91.71,4.55,0.833,0.082,0.107,0.65,0
2026-04-02,A045,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1811.0,0.84,392.14,59.83,92.79,4.55,0.838,0.07,0.105,0.2,0
2026-04-02,A046,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1923.0,0.85,449.97,68.51,90.27,4.55,0.827,0.074,0.104,0.35,0
2026-04-02,A047,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,2035.0,0.86,416.93,63.55,91.71,4.55,0.833,0.078,0.101,0.5,0
2026-04-02,A048,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,2147.0,0.87,392.14,59.83,92.79,4.55,0.838,0.082,0.099,0.65,0
2026-04-03,A001,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1506.0,0.841,472.47,69.71,90.45,4.53,0.825,0.074,0.104,0.2,0
2026-04-03,A002,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1613.0,0.851,438.12,64.75,91.89,4.53,0.831,0.078,0.101,0.35,0
2026-04-03,A003,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1719.0,0.861,412.37,61.03,92.97,4.53,0.836,0.082,0.099,0.5,0
2026-04-03,A004,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1825.0,0.871,472.47,69.71,90.45,4.53,0.825,0.086,0.113,0.65,0
2026-04-03,A005,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1932.0,0.841,438.12,64.75,91.89,4.53,0.831,0.074,0.11,0.2,0
2026-04-03,A006,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2038.0,0.851,412.37,61.03,92.97,4.53,0.836,0.078,0.093,0.35,0
2026-04-03,A007,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1506.0,0.861,472.47,69.71,90.45,4.53,0.825,0.082,0.107,0.5,0
2026-04-03,A008,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1613.0,0.871,438.12,64.75,91.89,4.53,0.831,0.086,0.104,0.65,0
2026-04-03,A009,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1719.0,0.841,412.37,61.03,92.97,4.53,0.836,0.074,0.102,0.2,0
2026-04-03,A010,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1825.0,0.851,472.47,69.71,90.45,4.53,0.825,0.078,0.116,0.35,0
2026-04-03,A011,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1932.0,0.861,438.12,64.75,91.89,4.53,0.831,0.082,0.098,0.5,0
2026-04-03,A012,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2038.0,0.871,412.37,61.03,92.97,4.53,0.836,0.086,0.096,0.65,0
2026-04-03,A013,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1506.0,0.838,437.48,69.71,90.45,4.59,0.829,0.065,0.11,0.2,0
2026-04-03,A014,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1613.0,0.848,405.72,64.75,91.89,4.59,0.835,0.069,0.107,0.35,0
2026-04-03,A015,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1719.0,0.858,381.91,61.03,92.97,4.59,0.84,0.073,0.105,0.5,0
2026-04-03,A016,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1825.0,0.868,437.48,69.71,90.45,4.59,0.829,0.077,0.104,0.65,0
2026-04-03,A017,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1932.0,0.838,405.72,64.75,91.89,4.59,0.835,0.065,0.101,0.2,0
2026-04-03,A018,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2038.0,0.848,381.91,61.03,92.97,4.59,0.84,0.069,0.099,0.35,1
2026-04-03,A019,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1506.0,0.858,437.48,69.71,90.45,4.59,0.829,0.073,0.113,0.5,0
2026-04-03,A020,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1613.0,0.868,405.72,64.75,91.89,4.59,0.835,0.077,0.11,0.65,0
2026-04-03,A021,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,1719.0,0.838,381.91,61.03,92.97,4.59,0.84,0.065,0.093,0.2,0
2026-04-03,A022,Team Manila B,Manila,Retail,Day,Voice,Order Support,new,2026-04,2715000,7.9,1825.0,0.848,437.48,69.71,90.45,4.59,0.829,0.069,0.107,0.35,0
2026-04-03,A023,Team Manila B,Manila,Retail,Swing,Voice,Order Support,steady,2026-04,2715000,7.9,1932.0,0.858,405.72,64.75,91.89,4.59,0.835,0.073,0.104,0.5,0
2026-04-03,A024,Team Manila B,Manila,Retail,Night,Voice,Order Support,senior,2026-04,2715000,7.9,2038.0,0.868,381.91,61.03,92.97,4.59,0.84,0.077,0.102,0.65,0
2026-04-03,A025,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1506.0,0.843,489.97,69.71,90.45,4.5,0.823,0.079,0.116,0.2,0
2026-04-03,A026,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1613.0,0.853,454.33,64.75,91.89,4.5,0.829,0.083,0.098,0.35,0
2026-04-03,A027,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1719.0,0.863,427.6,61.03,92.97,4.5,0.834,0.087,0.096,0.5,0
2026-04-03,A028,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1825.0,0.873,489.97,69.71,90.45,4.5,0.823,0.091,0.11,0.65,0
2026-04-03,A029,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1932.0,0.843,454.33,64.75,91.89,4.5,0.829,0.079,0.107,0.2,0
2026-04-03,A030,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2038.0,0.853,427.6,61.03,92.97,4.5,0.834,0.083,0.105,0.35,0
2026-04-03,A031,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1506.0,0.863,489.97,69.71,90.45,4.5,0.823,0.087,0.104,0.5,0
2026-04-03,A032,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1613.0,0.873,454.33,64.75,91.89,4.5,0.829,0.091,0.101,0.65,0
2026-04-03,A033,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,1719.0,0.843,427.6,61.03,92.97,4.5,0.834,0.079,0.099,0.2,0
2026-04-03,A034,Team Cebu C,Cebu,Travel,Day,Voice,Reservations,new,2026-04,2715000,7.9,1825.0,0.853,489.97,69.71,90.45,4.5,0.823,0.083,0.113,0.35,0
2026-04-03,A035,Team Cebu C,Cebu,Travel,Swing,Voice,Reservations,steady,2026-04,2715000,7.9,1932.0,0.863,454.33,64.75,91.89,4.5,0.829,0.087,0.11,0.5,0
2026-04-03,A036,Team Cebu C,Cebu,Travel,Night,Voice,Reservations,senior,2026-04,2715000,7.9,2038.0,0.873,427.6,61.03,92.97,4.5,0.834,0.091,0.093,0.65,0
2026-04-03,A037,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1506.0,0.84,454.97,69.71,90.45,4.56,0.827,0.07,0.107,0.2,0
2026-04-03,A038,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1613.0,0.85,421.93,64.75,91.89,4.56,0.833,0.074,0.104,0.35,0
2026-04-03,A039,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1719.0,0.86,397.14,61.03,92.97,4.56,0.838,0.078,0.102,0.5,0
2026-04-03,A040,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1825.0,0.87,454.97,69.71,90.45,4.56,0.827,0.082,0.116,0.65,0
2026-04-03,A041,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1932.0,0.84,421.93,64.75,91.89,4.56,0.833,0.07,0.098,0.2,0
2026-04-03,A042,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,2038.0,0.85,397.14,61.03,92.97,4.56,0.838,0.074,0.096,0.35,0
2026-04-03,A043,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1506.0,0.86,454.97,69.71,90.45,4.56,0.827,0.078,0.11,0.5,0
2026-04-03,A044,Team Davao D,Davao,Healthcare,Swing,Voice,Benefits,steady,2026-04,2715000,7.9,1613.0,0.87,421.93,64.75,91.89,4.56,0.833,0.082,0.107,0.65,0
2026-04-03,A045,Team Davao D,Davao,Healthcare,Night,Voice,Benefits,senior,2026-04,2715000,7.9,1719.0,0.84,397.14,61.03,92.97,4.56,0.838,0.07,0.105,0.2,0
2026-04-03,A046,Team Davao D,Davao,Healthcare,Day,Voice,Benefits,new,2026-04,2715000,7.9,1825.0,0.85,454.97,69.71,90.45,4.56,0.827,0.074,0.104,0.35,0
